q2_birthyear,q3_gender,q4_province,q6_satisfied_democracy,q9_interest_election,q10_certain_vote,q11_vote_intention,q14_feeling_liberal_party,q15_feeling_cons_party
1963,(1) Male,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,(-9) Don't know / Undecided,60,40
1973,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,70,55
1994,(1) Male,(5) Quebec,(1) Very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),70,60
2000,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",75,40
1984,(1) Male,(5) Quebec,(4) Not satisfied at all,(10) Great deal of interest,(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",10,10
1939,(1) Male,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",0,30
1999,(1) Male,(5) Quebec,(3) Not very satisfied,(6),(2) Likely,(5) Green Party (Greens),50,20
1995,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",65,25
1963,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",50,80
1970,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,70,10
1978,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(6) People's Party,15,50
1999,(1) Male,(5) Quebec,(2) Fairly satisfied,(4),(2) Likely,(-9) Don't know / Undecided,40,25
1963,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",50,75
1967,(1) Male,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,50,0
1993,(2) Female,(5) Quebec,(4) Not satisfied at all,(5),(3) Unlikely,(8) Will not vote,90,NA
1990,(2) Female,(5) Quebec,(2) Fairly satisfied,(3),(3) Unlikely,(7) Other,50,30
1978,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),4,2
1990,(2) Female,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),75,20
1990,(1) Male,(5) Quebec,(2) Fairly satisfied,(1),(3) Unlikely,(-9) Don't know / Undecided,NA,NA
1991,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,60,20
1967,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(9) None of these,NA,NA
1961,(1) Male,(5) Quebec,(3) Not very satisfied,(5),(1) Certain,(-9) Don't know / Undecided,60,0
1997,(1) Male,(5) Quebec,(3) Not very satisfied,(2),(1) Certain,(5) Green Party (Greens),5,40
1998,(1) Male,(10) British Columbia,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),50,10
1954,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(1) Liberal (Grits),70,40
1996,(1) Male,(5) Quebec,(3) Not very satisfied,(7),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",23,0
1987,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(2) Likely,(1) Liberal (Grits),70,50
1998,(2) Female,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,(-9) Don't know / Undecided,70,25
1949,(1) Male,(5) Quebec,(2) Fairly satisfied,(4),(1) Certain,(-9) Don't know / Undecided,60,60
1997,(2) Female,(5) Quebec,(3) Not very satisfied,(9),(2) Likely,(5) Green Party (Greens),50,0
1979,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",70,20
1989,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,70,30
1971,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(2) Likely,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",60,30
1983,(2) Female,(5) Quebec,(2) Fairly satisfied,(2),(2) Likely,(-9) Don't know / Undecided,60,40
1987,(2) Female,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,(-9) Don't know / Undecided,75,20
1983,(1) Male,(5) Quebec,(2) Fairly satisfied,(2),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",20,0
1983,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",70,25
1995,(2) Female,(5) Quebec,(3) Not very satisfied,(-9) Don't know,(3) Unlikely,(-9) Don't know / Undecided,20,30
1980,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(2) Likely,(6) People's Party,4,6
1968,(1) Male,(5) Quebec,(4) Not satisfied at all,(0) No interest at all,(4) Certain not to vote,NA,0,0
1986,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",70,0
1939,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,70,0
1980,(1) Male,(5) Quebec,(4) Not satisfied at all,(2),(2) Likely,(-9) Don't know / Undecided,2,2
1995,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,60,20
1960,(1) Male,(5) Quebec,(2) Fairly satisfied,(9),(2) Likely,(1) Liberal (Grits),80,20
1946,(2) Female,(5) Quebec,(1) Very satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,4,NA
1979,(2) Female,(5) Quebec,(4) Not satisfied at all,(7),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,NA
1981,(1) Male,(5) Quebec,(1) Very satisfied,(6),(2) Likely,(-9) Don't know / Undecided,70,65
1959,(2) Female,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),85,30
1991,(1) Male,(5) Quebec,(2) Fairly satisfied,(3),(2) Likely,(5) Green Party (Greens),50,50
1961,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(2) Likely,(-9) Don't know / Undecided,60,10
1985,(1) Male,(5) Quebec,(3) Not very satisfied,(6),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",65,2
1972,(2) Female,(5) Quebec,(2) Fairly satisfied,(3),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",70,80
1977,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",50,50
1974,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(2) Likely,(-9) Don't know / Undecided,40,50
1979,(1) Male,(5) Quebec,(2) Fairly satisfied,(3),(1) Certain,(1) Liberal (Grits),80,60
1972,(2) Female,(5) Quebec,(1) Very satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",75,80
1966,(2) Female,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(2) Likely,(-9) Don't know / Undecided,75,75
1968,(1) Male,(5) Quebec,(4) Not satisfied at all,(3),(2) Likely,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",30,20
1957,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,40,50
1966,(2) Female,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,(-9) Don't know / Undecided,NA,40
1949,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",70,50
1971,(2) Female,(5) Quebec,(3) Not very satisfied,(1),(2) Likely,(5) Green Party (Greens),40,30
1984,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,60,50
1966,(2) Female,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,(-9) Don't know / Undecided,40,50
1996,(2) Female,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,10
1953,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-8) Refused,60,60
1981,(2) Female,(5) Quebec,(3) Not very satisfied,(7),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,20
1968,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-8) Refused,70,50
1950,(1) Male,(5) Quebec,(2) Fairly satisfied,(1),(2) Likely,(-9) Don't know / Undecided,20,20
1996,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),70,0
1972,(2) Female,(5) Quebec,(2) Fairly satisfied,(8),(2) Likely,(1) Liberal (Grits),70,60
1972,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),70,40
1985,(2) Female,(5) Quebec,(3) Not very satisfied,(4),(3) Unlikely,(1) Liberal (Grits),60,50
1978,(2) Female,(5) Quebec,(2) Fairly satisfied,(4),(1) Certain,(10) Will spoil ballet,40,50
1983,(1) Male,(10) British Columbia,(3) Not very satisfied,(10) Great deal of interest,(2) Likely,(1) Liberal (Grits),80,0
1987,(2) Female,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,55,0
1994,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),70,60
1976,(1) Male,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),85,0
1969,(1) Male,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(6) People's Party,35,50
1992,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(2) Likely,(-9) Don't know / Undecided,NA,NA
