Name,Gender,party,province,year_started
"Grimmer, Robert Watson",M,Conservative,New Brunswick,1921
"Wightman, William Hannum",M,Progressive Conservative Party,Ontario,1979
"Palmer, Acalus Lockwood",M,Liberal Party of Canada,New Brunswick,1872
"Andre, Harvie",M,Progressive Conservative Party,Alberta,1972
"MacKinnon, Steven",M,Liberal Party of Canada,Quebec,2015
"De Veber, Jeremiah Smith Boies",M,Liberal Party of Canada,New Brunswick,1873
"Maloney, James",M,Liberal Party of Canada,Ontario,2015
"Carmichael, James William",M,Liberal Party of Canada,Nova Scotia,1874
"Broder, Andrew",M,Conservative,Ontario,1896
"Gauthier, Pierre",M,Liberal Party of Canada,Quebec,1945
"Cavers, Harry Peter",M,Liberal Party of Canada,Ontario,1949
"Ferrie, Gladstone Mansfield",M,Liberal Party of Canada,Saskatchewan,1949
"Wood, Josiah",M,Conservative,New Brunswick,1882
"Carr, Jim",M,Liberal Party of Canada,Manitoba,2015
"Whelan, Susan",F,Liberal Party of Canada,Ontario,1997
"Matheson, Joseph",M,Liberal Party of Canada,Nova Scotia,1900
"Byrne, Gerry",M,Liberal Party of Canada,Newfoundland and Labrador,1996
"Thompson, Joanne",F,Liberal Party of Canada,Newfoundland and Labrador,2021
"Dyer, Eugène Alphonse",M,Conservative,Quebec,1892
"Molloy, John Patrick",M,Liberal Party of Canada,Manitoba,1908
"McKay, Alexander",M,Conservative,Ontario,1887
"Kirk, Thomas Andrew Murray",M,Liberal Party of Canada,Nova Scotia,1953
"Sweet, David",M,Conservative Party of Canada,Ontario,2015
"Preston, Joe",M,Conservative Party of Canada,Ontario,2004
"Dufresne, Joseph",M,Conservative,Quebec,1867
"Bigg, Frederick Johnstone (Jack)",M,Progressive Conservative Party,Alberta,1968
"Côté, Pierre-Émile",M,Liberal Party of Canada,Quebec,1937
"Peterson, Peter James",M,Progressive Conservative Party,Ontario,1984
"Clarke, Alupa",M,Conservative Party of Canada,Quebec,2015
"Beech, William George",M,Progressive Conservative Party,Ontario,1957
"Coursol, Michel Charles Joseph",M,Conservative,Quebec,1878
"Bourgault, Lise",F,Progressive Conservative Party,Quebec,1984
"Solberg, Monte",M,Conservative Party of Canada,Alberta,1993
"Wheler, George",M,Liberal Party of Canada,Ontario,1882
"Hogg, Gordie",M,Liberal Party of Canada,British Columbia,2017
"Heenan, Peter",M,Liberal Party of Canada,Ontario,1926
"Vankoughnet, William John",M,Progressive Conservative Party,Ontario,1984
"Reynolds, John Douglas",M,Conservative Party of Canada,British Columbia,2004
"Ross, George Henry",M,Liberal Party of Canada,Alberta,1940
"Bethel, Judith Claire (Judy)",F,Liberal Party of Canada,Alberta,1993
"Casson, Rick",M,Conservative Party of Canada,Alberta,1997
"McIvor, Daniel (Dan)",M,Liberal Party of Canada,Ontario,1935
"Carbonneau, Onésiphore",M,Liberal Party of Canada,Quebec,1902
"Cannis, John",M,Liberal Party of Canada,Ontario,1993
"Batten, Herman Maxwell",M,Liberal Party of Canada,Newfoundland and Labrador,1953
"Douglas, James Lester",M,Liberal Party of Canada,Prince Edward Island,1940
"Van De Walle, Walter",M,Progressive Conservative Party,Alberta,1988
"Benoit, Pierre Basile",M,Conservative,Quebec,1876
"Chapleau, Joseph Adolphe",M,Conservative,Quebec,1882
"Metcalfe, James Henry",M,Conservative,Ontario,1892
"Nault, Robert Daniel",M,Liberal Party of Canada,Ontario,2015
"Peddle, Ambrose Hubert",M,Progressive Conservative Party,Newfoundland and Labrador,1968
"Sullivan, Mike",M,New Democratic Party,Ontario,2011
